Q1,Q2,Q3,Q4,gender
3,1,0,2,F
1,1,1,1,F
1,2,0,1,M
1,3,1,5,F
1,1,0,1,M
2,2,1,3,M
1,1,0,3,F
1,3,1,2,F
1,1,0,NA,F
1,2,1,2,F
1,2,0,5,F
1,1,0,1,F
1,1,1,1,F
1,1,0,1,M
3,3,0,1,M
2,1,0,2,M
1,3,1,2,M
1,1,0,5,M
1,1,0,1,NA
3,1,0,1,M
1,2,0,6,M
1,1,0,1,F
2,1,0,2,F
1,1,0,1,F
1,1,1,1,F
2,2,1,1,F
3,1,0,1,F
2,1,1,3,NA
1,1,1,1,NA
3,2,0,1,NA
1,3,1,1,F
2,3,0,2,M
1,1,0,2,M
1,1,1,2,F
1,2,0,1,F
1,1,1,2,F
1,1,1,6,M
1,1,0,2,F
3,1,0,3,M
3,2,0,3,M
3,3,1,4,M
1,3,0,2,M
1,2,0,2,NA
1,1,1,1,F
2,1,1,3,M
1,1,1,2,F
1,1,0,2,M
1,1,1,3,NA
3,1,0,3,M
3,1,1,2,NA
1,3,1,2,M
1,3,0,1,M
1,1,1,2,NA
1,3,0,1,F
3,1,1,2,F
1,3,0,1,M
3,1,0,1,F
1,1,0,1,F
3,3,NA,1,M
2,3,1,4,M
2,2,0,2,F
1,3,0,2,M
3,3,1,5,F
2,2,0,5,M
3,3,0,5,F
1,1,1,1,F
1,3,0,6,M
3,2,1,2,F
2,1,0,1,M
2,1,0,1,F
1,1,0,1,F
1,1,1,3,F
3,2,0,4,F
3,3,0,4,F
2,3,1,3,F
1,3,1,4,M
1,2,1,2,M
1,3,1,1,M
1,1,0,1,F
1,2,0,1,M
2,1,0,1,F
1,3,1,1,F
1,2,0,1,M
1,2,0,4,M
1,3,0,1,M
2,1,0,3,F
1,1,0,1,M
1,2,1,2,F
2,2,0,1,F
3,1,0,1,F
3,1,1,2,M
1,1,0,2,M
3,2,0,2,NA
1,1,1,5,F
3,1,0,1,M
3,1,1,2,M
1,2,0,1,M
1,3,0,5,M
3,3,0,2,M
1,1,0,2,M
1,3,1,3,M
3,3,1,1,M
3,3,0,4,M
2,3,1,4,M
1,3,1,2,M
3,2,0,4,M
3,3,0,2,M
1,3,1,6,M
1,3,1,2,M
3,2,1,2,M
3,3,0,3,M
1,1,1,2,M
3,3,1,2,M
2,3,0,6,M
1,3,0,3,M
1,3,0,1,M
1,3,0,1,M